PLAYER Evil Machine
BOT Brave Human
DEPTH 4
1 place_move 70
0 place_move 04
1 place_move 41
0 place_move 17
1 place_move 72
0 place_move 26
1 place_move 63
0 place_move 33
1 place_move 30
0 place_move 05
1 place_move 55
0 place_move 54
1 place_move 44
0 place_move 47
1 place_move 71
1 takes 7
0 place_move 14
1 place_move 40
0 place_move 03
0 takes 0
1 place_move 35
0 place_move 58
1 place_move 82
0 place_move 24
1 place_move 48
1 takes 4
0 place_move 83
1 place_move 31
0 place_move 11
0 takes 1
1 place_move 85
0 place_move 53
1 place_move 38
0 place_move 88
1 place_move 86
0 place_move 68
1 place_move 84
1 takes 8
0 place_move 22
0 takes 2
0 wins
